iter	Passed	Remaining
0	5	519
1	9	445
2	13	432
3	16	395
4	20	391
5	24	380
6	28	376
7	32	374
8	34	347
9	36	324
10	37	303
11	39	286
12	40	271
13	41	257
14	43	246
15	45	238
16	47	231
17	49	223
18	50	217
19	52	210
20	53	203
21	55	197
22	57	191
23	58	185
24	60	180
25	61	175
26	63	171
27	65	167
28	67	164
29	68	160
30	70	156
31	71	152
32	73	148
33	75	145
34	76	142
35	78	140
36	80	136
37	81	133
38	83	130
39	84	126
40	86	124
41	87	120
42	89	119
43	91	117
44	94	115
45	96	113
46	98	111
47	100	108
48	101	105
49	103	103
50	104	100
51	106	98
52	108	96
53	110	93
54	111	90
55	112	88
56	114	86
57	115	83
58	116	81
59	118	78
60	120	76
61	121	74
62	123	72
63	124	70
64	126	67
65	127	65
66	129	63
67	131	61
68	133	59
69	135	57
70	136	55
71	138	53
72	139	51
73	141	49
74	142	47
75	143	45
76	145	43
77	146	41
78	148	39
79	149	37
80	151	35
81	152	33
82	154	31
83	155	29
84	157	27
85	158	25
86	160	23
87	161	22
88	163	20
89	164	18
90	166	16
91	167	14
92	169	12
93	171	10
94	172	9
95	174	7
96	175	5
97	177	3
98	179	1
99	180	0
